Gender,Height,Weight,BMI,Index
1,174,96,52.96551724137931,4
1,189,87,40.04761904761905,2
0,185,110,65.4054054054054,4
0,195,104,55.46666666666667,3
1,149,61,24.973154362416107,3
1,189,104,57.22751322751323,3
1,147,92,57.57823129251701,5
1,154,111,80.00649350649351,5
1,174,90,46.55172413793103,3
0,169,103,62.77514792899408,4
1,195,81,33.646153846153844,2
0,159,80,40.25157232704402,4
0,192,101,53.130208333333336,3
1,155,51,16.780645161290323,2
1,191,79,32.675392670157066,2
0,153,107,74.83006535947712,5
0,157,110,77.07006369426752,5
1,140,129,118.86428571428571,5
1,144,145,146.00694444444446,5
1,172,139,112.3313953488372,5
1,157,110,77.07006369426752,5
0,153,149,145.1045751633987,5
0,169,97,55.67455621301775,4
1,185,139,104.43783783783783,5
0,172,67,26.098837209302324,2
0,151,64,27.125827814569536,3
1,190,95,47.5,3
1,187,62,20.55614973262032,1
0,163,159,155.09815950920245,5
1,179,152,129.07262569832403,5
1,153,121,95.69281045751634,5
1,178,52,15.191011235955056,1
0,195,65,21.666666666666668,1
0,160,131,107.25625,5
0,157,153,149.10191082802547,5
0,189,132,92.19047619047619,4
0,197,114,65.96954314720813,3
1,144,80,44.44444444444444,4
0,171,152,135.11111111111111,5
0,185,81,35.464864864864865,2
0,175,120,82.28571428571429,4
0,149,108,78.28187919463087,5
1,157,56,19.97452229299363,2
1,161,118,86.48447204968944,5
0,182,126,87.23076923076923,4
1,185,76,31.221621621621622,2
0,188,122,79.17021276595744,4
1,181,111,68.07182320441989,4
1,161,72,32.19875776397515,3
1,140,152,165.02857142857144,5
0,168,135,108.48214285714286,5
0,176,54,16.568181818181817,1
1,163,110,74.23312883435582,5
1,172,105,64.09883720930233,4
1,196,116,68.65306122448979,4
0,187,89,42.35828877005348,3
1,172,92,49.2093023255814,4
1,178,127,90.61235955056179,5
0,164,70,29.878048780487806,3
1,143,88,54.15384615384615,5
0,191,54,15.267015706806284,0
0,141,143,145.02836879432624,5
1,193,54,15.10880829015544,0
1,190,83,36.257894736842104,2
1,175,135,104.14285714285714,5
0,179,158,139.46368715083798,5
0,172,96,53.58139534883721,4
0,168,59,20.720238095238095,2
0,164,82,41.0,4
0,194,136,95.34020618556701,4
0,153,51,17.0,2
1,178,117,76.90449438202248,4
1,141,80,45.39007092198582,5
1,180,75,31.25,2
0,185,100,54.054054054054056,3
0,197,154,120.38578680203045,4
1,165,104,65.55151515151515,4
0,168,90,48.214285714285715,4
0,176,122,84.56818181818181,4
1,181,51,14.370165745856353,0
1,164,75,34.298780487804876,3
0,166,140,118.07228915662651,5
0,190,105,58.026315789473685,3
1,186,118,74.86021505376344,4
1,168,123,90.05357142857143,5
1,198,50,12.626262626262626,0
0,175,141,113.60571428571428,5
1,145,117,94.40689655172413,5
0,159,104,68.0251572327044,5
0,185,140,105.94594594594595,5
0,178,154,133.23595505617976,5
0,183,96,50.36065573770492,3
0,194,111,63.51030927835052,3
1,177,61,21.0225988700565,2
1,197,119,71.88324873096447,4
0,170,156,143.1529411764706,5
1,142,69,33.528169014084504,4
1,160,139,120.75625,5
1,195,69,24.415384615384614,1
0,190,50,13.157894736842104,0
1,199,156,122.29145728643216,4
1,154,105,71.5909090909091,5
